codigo,descripcion,orden,activo
433,ACABADO DE EDIFICIOS,1,1
1330,ACABADO DE TEXTILES,2,1
133,ACABADO DE TEXTILES,3,1
82,ACTIVIDADES ADMINISTRATIVAS DE OFICINA Y OTRAS ACTIVIDADES AUXILIARES A LAS EMPRESAS,4,1
821,ACTIVIDADES ADMINISTRATIVAS Y AUXILIARES DE OFICINA,5,1
N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS AUXILIARES,6,1
522,ACTIVIDADES ANEXAS AL TRANSPORTE,7,1
5223,ACTIVIDADES ANEXAS AL TRANSPORTE AÉREO,8,1
5222,ACTIVIDADES ANEXAS AL TRANSPORTE MARÍTIMO Y POR VÍAS NAVEGABLES INTERIORES,9,1
5221,ACTIVIDADES ANEXAS AL TRANSPORTE TERRESTRE,10,1
9106,ACTIVIDADES ARCHIVOS,11,1
R,"ACTIVIDADES ARTÍSTICAS, RECREATIVAS Y DE ENTRETENIMIENTO",12,1
94,ACTIVIDADES ASOCIATIVAS,13,1
856,ACTIVIDADES AUXILIARES A LA EDUCACIÓN,14,1
8560,ACTIVIDADES AUXILIARES A LA EDUCACIÓN,15,1
9002,ACTIVIDADES AUXILIARES A LAS ARTES ESCÉNICAS,16,1
661,"ACTIVIDADES AUXILIARES A LOS SERVICIOS FINANCIEROS, EXCEPTO SEGUROS Y FONDOS DE PENSIONES",17,1
66,ACTIVIDADES AUXILIARES A LOS SERVICIOS FINANCIEROS Y A LOS SEGUROS,18,1
662,ACTIVIDADES AUXILIARES A SEGUROS Y FONDOS DE PENSIONES,19,1
591,"ACTIVIDADES CINEMATOGRÁFICAS, DE VÍDEO Y DE PROGRAMAS DE TELEVISIÓN",20,1
59,"ACTIVIDADES CINEMATOGRÁFICAS, DE VÍDEO Y DE PROGRAMAS DE TELEVISIÓN, GRABACIÓN DE SONIDO Y EDICIÓN MUSICAL",21,1
79,"ACTIVIDADES DE AGENCIAS DE VIAJES, OPERADORES TURÍSTICOS, SERVICIOS DE RESERVAS Y ACTIVIDADES RELACIONADAS CON LOS MISMOS",22,1
791,ACTIVIDADES DE AGENCIAS DE VIAJES Y OPERADORES TURÍSTICOS,23,1
6622,ACTIVIDADES DE AGENTES Y CORREDORES DE SEGUROS,24,1
77,ACTIVIDADES DE ALQUILER,25,1
0161,ACTIVIDADES DE APOYO A LA AGRICULTURA,26,1
016,"ACTIVIDADES DE APOYO A LA AGRICULTURA, A LA GANADERÍA Y DE PREPARACIÓN POSTERIOR A LA COSECHA",27,1
0910,ACTIVIDADES DE APOYO A LA EXTRACCIÓN DE PETRÓLEO Y GAS NATURAL,28,1
091,ACTIVIDADES DE APOYO A LA EXTRACCIÓN DE PETRÓLEO Y GAS NATURAL,29,1
0162,ACTIVIDADES DE APOYO A LA GANADERÍA,30,1
829,ACTIVIDADES DE APOYO A LAS EMPRESAS N.C.O.P.,31,1
09,ACTIVIDADES DE APOYO A LAS INDUSTRIAS EXTRACTIVAS,32,1
0990,ACTIVIDADES DE APOYO A OTRAS INDUSTRIAS EXTRACTIVAS,33,1
099,ACTIVIDADES DE APOYO A OTRAS INDUSTRIAS EXTRACTIVAS,34,1
9105,ACTIVIDADES DE BIBLIOTECAS,35,1
91,"ACTIVIDADES DE BIBLIOTECAS, ARCHIVOS, MUSEOS Y OTRAS ACTIVIDADES CULTURALES",36,1
910,"ACTIVIDADES DE BIBLIOTECAS, ARCHIVOS, MUSEOS Y OTRAS ACTIVIDADES CULTURALES",37,1
43,ACTIVIDADES DE CONSTRUCCIÓN ESPECIALIZADA,38,1
702,ACTIVIDADES DE CONSULTORÍA DE GESTIÓN EMPRESARIAL,39,1
6202,ACTIVIDADES DE CONSULTORÍA INFORMÁTICA,40,1
692,"ACTIVIDADES DE CONTABILIDAD, TENEDURÍA DE LIBROS, AUDITORÍA Y ASESORÍA FISCAL",41,1
6920,"ACTIVIDADES DE CONTABILIDAD, TENEDURÍA DE LIBROS, AUDITORÍA Y ASESORÍA FISCAL",42,1
90,"ACTIVIDADES DE CREACIÓN, ARTÍSTICAS Y ESPECTÁCULOS",43,1
900,"ACTIVIDADES DE CREACIÓN, ARTÍSTICAS Y ESPECTÁCULOS",44,1
8891,ACTIVIDADES DE CUIDADO DIURNO DE NIÑOS,45,1
39,ACTIVIDADES DE DESCONTAMINACIÓN Y OTROS SERVICIOS DE GESTIÓN DE RESIDUOS,46,1
390,ACTIVIDADES DE DESCONTAMINACIÓN Y OTROS SERVICIOS DE GESTIÓN DE RESIDUOS,47,1
3900,ACTIVIDADES DE DESCONTAMINACIÓN Y OTROS SERVICIOS DE GESTIÓN DE RESIDUOS,48,1
7410,ACTIVIDADES DE DISEÑO ESPECIALIZADO,49,1
741,ACTIVIDADES DE DISEÑO ESPECIALIZADO,50,1
5917,ACTIVIDADES DE DISTRIBUCIÓN CINEMATOGRÁFICA Y DE VÍDEO,51,1
5918,ACTIVIDADES DE DISTRIBUCIÓN DE PROGRAMAS DE TELEVISIÓN,52,1
8292,ACTIVIDADES DE ENVASADO Y EMPAQUETADO,53,1
5914,ACTIVIDADES DE EXHIBICIÓN CINEMATOGRÁFICA,54,1
