codigo,descripcion,orden,activo
4159,ZZZZZZZZ - INDETERMINADO,1,1
2948,00111010 - OFICIALES DE LAS FUERZAS ARMADAS,2,1
2949,00121013 - SUBOFICIALES DE LAS FUERZAS ARMADAS,3,1
2950,00201014 - SOLDADOS PROFESIONALES,4,1
2951,"11111012 - MIEMBROS DEL PODER EJECUTIVO (NACIONAL, AUTONÓMICO Y LOCAL) Y DEL PODER LEGISLATIVO",5,1
2952,11121015 - PERSONAL DIRECTIVO DE LA ADMINISTRACIÓN PÚBLICA,6,1
2953,11131018 - DIRECTORES DE ORGANIZACIONES DE INTERÉS SOCIAL,7,1
2954,"11201012 - DIRECTORES GENERALES DE EMPRESA DE 10 O MÁS ASALARIADOS, EN GENERAL",8,1
2955,"12111015 - DIRECTORES DE DEPARTAMENTO DE ADMINISTRACIÓN Y FINANZAS, EN GENERAL",9,1
2956,12121018 - DIRECTORES DE DEPARTAMENTO DE RELACIONES LABORALES Y RECURSOS HUMANOS,10,1
2957,12191019 - DIRECTORES DE DEPARTAMENTO DE ASUNTOS JURÍDICOS Y FISCALES,11,1
2958,12191028 - DIRECTORES DE DEPARTAMENTO DE CONTROL DE CALIDAD,12,1
2959,12191037 - DIRECTORES DE DEPARTAMENTO DE DISEÑO,13,1
2960,12191046 - DIRECTORES DE DEPARTAMENTO DE INFORMACIÓN,14,1
2961,12191055 - DIRECTORES DE DEPARTAMENTO DE INSTALACIONES Y MANTENIMIENTO,15,1
2962,12191064 - DIRECTORES DE DEPARTAMENTO DE PERITAJE,16,1
2963,12191073 - DIRECTORES DE DEPARTAMENTO DE PLANIFICACIÓN Y DESARROLLO,17,1
2964,"12211014 - DIRECTORES COMERCIALES, EN GENERAL",18,1
2965,"12211023 - DIRECTORES DE DEPARTAMENTO DE COMERCIALIZACIÓN Y VENTAS, EN GENERAL",19,1
2966,12211032 - DIRECTORES DE DEPARTAMENTO DE MARKETING,20,1
2967,12211041 - DIRECTORES DE DEPARTAMENTO DE TELEMARKETING,21,1
2968,"12221017 - DIRECTORES DE DEPARTAMENTOS DE PUBLICIDAD Y/O RELACIONES PÚBLICAS, EN GENERAL",22,1
2969,12221026 - DIRECTORES DE GABINETE DE PRENSA,23,1
2970,12231010 - DIRECTORES DE DEPARTAMENTO DE PROYECTOS INDUSTRIALES,24,1
2971,12231029 - DIRECTORES DE DEPARTAMENTOS Y/O LABORATORIO DE INVESTIGACIÓN Y DESARROLLO (I+D),25,1
2972,"13111018 - DIRECTORES DE DEPARTAMENTOS DE PRODUCCIÓN EN EXPLOTACIONES AGRARIAS, GANADERAS, CAZA, FORESTALES",26,1
2973,"13111027 - GERENTES DE EXPLOTACIONES AGRÍCOLAS, GANADERAS, DE CAZA, DE SILVICULTURA Y/O FORESTALES, CON MENOS DE 10 ASALARIADOS",27,1
2974,13121011 - DIRECTORES DE DEPARTAMENTOS DE PRODUCCIONES EN EXPLOTACIONES PESQUERAS Y/O ACUÍCOLAS,28,1
2975,13121020 - GERENTES DE EXPLOTACIONES PESQUERAS Y/O ACUÍCOLAS CON MENOS DE 10 ASALARIADOS,29,1
2976,"13131014 - DIRECTORES DE DEPARTAMENTO DE PRODUCCIÓN EN EMPRESA INDUSTRIAL DE 10 O MÁS ASALARIADOS, EN GENERAL",30,1
2977,"13131023 - GERENTES DE EMPRESA INDUSTRIAL EN GENERAL, CON MENOS DE 10 ASALARIADOS",31,1
2978,13141017 - DIRECTORES DE EXPLOTACIONES MINERAS,32,1
2979,"13151010 - DIRECTORES DE DEPARTAMENTO DE ABASTECIMIENTO, DISTRIBUCIÓN Y/O LOGÍSTICA, EN GENERAL",33,1
2980,13151029 - DIRECTORES DE DEPARTAMENTO DE OPERACIONES EN EMPRESA DE ALMACENAMIENTO,34,1
2981,"13151038 - DIRECTORES DE DEPARTAMENTO DE OPERACIONES EN EMPRESA DE TRANSPORTE, EN GENERAL",35,1
2982,"13151047 - GERENTES DE EMPRESA DE TRANSPORTES, ALMACENAMIENTO, COMUNICACIONES Y/O LOGÍSTICA, CON MENOS DE 10 ASALARIADOS",36,1
2983,13151056 - INSPECTORES DE EMPRESAS DE TRANSPORTE,37,1
2984,13151065 - JEFES DE OPERACIONES DE VUELO,38,1
2985,"13151074 - JEFES DE TRÁFICO EN EMPRESAS DE TRANSPORTE, EN GENERAL",39,1
2986,13161013 - DIRECTORES DE DEPARTAMENTO DE PRODUCCIÓN EN EMPRESA DE CONSTRUCCIÓN,40,1
2987,"13161022 - GERENTES DE EMPRESA DE CONSTRUCCIÓN, CON MENOS DE 10 ASALARIADOS",41,1
2988,13211017 - DIRECTORES DE DEPARTAMENTO DE OPERACIONES EN EMPRESA DE COMUNICACIÓN,42,1
2989,"13211026 - DIRECTORES DE DEPARTAMENTO DE SERVICIOS INFORMÁTICOS, EN GENERAL",43,1
2990,13221010 - DIRECTORES DE SERVICIOS SOCIALES PARA NIÑOS,44,1
2991,13231013 - DIRECTORES DE DEPARTAMENTOS DE OPERACIONES EN EMPRESAS DE SERVICIOS SANITARIOS Y/O VETERINARIOS,45,1
2992,13231022 - GERENTES DE ÁREA O CENTRO SANITARIO,46,1
2993,"13231031 - GERENTES DE EMPRESA DE SERVICIOS SANITARIOS Y/O VETERINARIOS, CON MENOS DE 10 ASALARIADOS",47,1
2994,13241016 - DIRECTORES DE SERVICIOS SOCIALES PARA PERSONAS MAYORES,48,1
2995,13251019 - DIRECTORES DE OTROS SERVICIOS SOCIALES,49,1
