id,nombre,tipo_subdivision,nivel,pais_id,parent_id,codigo_subdivision,source_name,created_at,updated_at
subdivision__es__1__pais_vasco,Pais Vasco,comunidad_autonoma,1,country__es,,16,Pais Vasco,2026-04-16 18:57:00,2026-04-16 18:57:00
subdivision__es__1__castilla_la_mancha,Castilla - La Mancha,comunidad_autonoma,1,country__es,,08,Castilla - La Mancha,2026-04-16 18:57:00,2026-04-16 18:57:00
subdivision__es__1__comunitat_valenciana,Comunitat Valenciana,comunidad_autonoma,1,country__es,,10,Comunitat Valenciana,2026-04-16 18:57:00,2026-04-16 18:57:00
subdivision__es__1__andalucia,Andalucia,comunidad_autonoma,1,country__es,,01,Andalucia,2026-04-16 18:57:00,2026-04-16 18:57:00
subdivision__es__1__castilla_y_leon,Castilla y Leon,comunidad_autonoma,1,country__es,,07,Castilla y Leon,2026-04-16 18:57:00,2026-04-16 18:57:00
subdivision__es__1__extremadura,Extremadura,comunidad_autonoma,1,country__es,,11,Extremadura,2026-04-16 18:57:00,2026-04-16 18:57:00
subdivision__es__1__illes_balears,Illes Balears,comunidad_autonoma,1,country__es,,04,Illes Balears,2026-04-16 18:57:00,2026-04-16 18:57:00
subdivision__es__1__cataluna,Cataluña,comunidad_autonoma,1,country__es,,09,Cataluña,2026-04-16 18:57:00,2026-04-16 18:57:00
subdivision__es__1__galicia,Galicia,comunidad_autonoma,1,country__es,,12,Galicia,2026-04-16 18:57:00,2026-04-16 18:57:00
subdivision__es__1__aragon,Aragon,comunidad_autonoma,1,country__es,,02,Aragon,2026-04-16 18:57:00,2026-04-16 18:57:00
subdivision__es__1__rioja_la,"Rioja, La",comunidad_autonoma,1,country__es,,17,"Rioja, La",2026-04-16 18:57:00,2026-04-16 18:57:00
subdivision__es__1__comunidad_de_madrid,Comunidad de Madrid,comunidad_autonoma,1,country__es,,13,Comunidad de Madrid,2026-04-16 18:57:00,2026-04-16 18:57:00
subdivision__es__1__region_de_murcia,Region de Murcia,comunidad_autonoma,1,country__es,,14,Region de Murcia,2026-04-16 18:57:00,2026-04-16 18:57:00
subdivision__es__1__comunidad_foral_de_navarra,Comunidad Foral de Navarra,comunidad_autonoma,1,country__es,,15,Comunidad Foral de Navarra,2026-04-16 18:57:00,2026-04-16 18:57:00
subdivision__es__1__asturias_principado_de,"Asturias, Principado de",comunidad_autonoma,1,country__es,,03,"Asturias, Principado de",2026-04-16 18:57:00,2026-04-16 18:57:00
subdivision__es__1__canarias,Canarias,comunidad_autonoma,1,country__es,,05,Canarias,2026-04-16 18:57:00,2026-04-16 18:57:00
subdivision__es__1__cantabria,Cantabria,comunidad_autonoma,1,country__es,,06,Cantabria,2026-04-16 18:57:00,2026-04-16 18:57:00
subdivision__es__1__ceuta,Ceuta,comunidad_autonoma,1,country__es,,18,Ceuta,2026-04-16 18:57:00,2026-04-16 18:57:00
subdivision__es__1__melilla,Melilla,comunidad_autonoma,1,country__es,,19,Melilla,2026-04-16 18:57:00,2026-04-16 18:57:00
subdivision__es__2__araba__subdivision_es_1_pais_vasco,Araba,provincia,2,country__es,subdivision__es__1__pais_vasco,01,Araba,2026-04-16 18:57:00,2026-04-16 18:57:00
subdivision__es__2__albacete__subdivision_es_1_castilla_la_mancha,Albacete,provincia,2,country__es,subdivision__es__1__castilla_la_mancha,02,Albacete,2026-04-16 18:57:00,2026-04-16 18:57:00
subdivision__es__2__alacant__subdivision_es_1_comunitat_valenciana,Alacant,provincia,2,country__es,subdivision__es__1__comunitat_valenciana,03,Alacant,2026-04-16 18:57:00,2026-04-16 18:57:00
subdivision__es__2__almeria__subdivision_es_1_andalucia,Almeria,provincia,2,country__es,subdivision__es__1__andalucia,04,Almeria,2026-04-16 18:57:00,2026-04-16 18:57:00
subdivision__es__2__avila__subdivision_es_1_castilla_y_leon,Avila,provincia,2,country__es,subdivision__es__1__castilla_y_leon,05,Avila,2026-04-16 18:57:00,2026-04-16 18:57:00
