id,nombre,tipo_localidad,pais_id,subdivision_id,codigo_localidad,source_name,latitud,longitud,codigo_postal,population,created_at,updated_at
localidad__es__01001,Alegria-Dulantzi,municipio,country__es,subdivision__es__2__araba__subdivision_es_1_pais_vasco,01001,Alegria-Dulantzi,,,,,2026-04-16 18:57:26,2026-04-16 18:57:26
localidad__es__01002,Amurrio,municipio,country__es,subdivision__es__2__araba__subdivision_es_1_pais_vasco,01002,Amurrio,,,,,2026-04-16 18:57:26,2026-04-16 18:57:26
localidad__es__01049,Añana,municipio,country__es,subdivision__es__2__araba__subdivision_es_1_pais_vasco,01049,Añana,,,,,2026-04-16 18:57:26,2026-04-16 18:57:26
localidad__es__01003,Aramaio,municipio,country__es,subdivision__es__2__araba__subdivision_es_1_pais_vasco,01003,Aramaio,,,,,2026-04-16 18:57:26,2026-04-16 18:57:26
localidad__es__01006,Armiñon,municipio,country__es,subdivision__es__2__araba__subdivision_es_1_pais_vasco,01006,Armiñon,,,,,2026-04-16 18:57:26,2026-04-16 18:57:26
localidad__es__01037,Arraia-Maeztu,municipio,country__es,subdivision__es__2__araba__subdivision_es_1_pais_vasco,01037,Arraia-Maeztu,,,,,2026-04-16 18:57:26,2026-04-16 18:57:26
localidad__es__01008,Arrazua-Ubarrundia,municipio,country__es,subdivision__es__2__araba__subdivision_es_1_pais_vasco,01008,Arrazua-Ubarrundia,,,,,2026-04-16 18:57:26,2026-04-16 18:57:26
localidad__es__01004,Artziniega,municipio,country__es,subdivision__es__2__araba__subdivision_es_1_pais_vasco,01004,Artziniega,,,,,2026-04-16 18:57:26,2026-04-16 18:57:26
localidad__es__01009,Asparrena,municipio,country__es,subdivision__es__2__araba__subdivision_es_1_pais_vasco,01009,Asparrena,,,,,2026-04-16 18:57:26,2026-04-16 18:57:26
localidad__es__01010,Ayala/Aiara,municipio,country__es,subdivision__es__2__araba__subdivision_es_1_pais_vasco,01010,Ayala/Aiara,,,,,2026-04-16 18:57:26,2026-04-16 18:57:26
localidad__es__01011,Baños de Ebro/Mañueta,municipio,country__es,subdivision__es__2__araba__subdivision_es_1_pais_vasco,01011,Baños de Ebro/Mañueta,,,,,2026-04-16 18:57:26,2026-04-16 18:57:26
localidad__es__01013,Barrundia,municipio,country__es,subdivision__es__2__araba__subdivision_es_1_pais_vasco,01013,Barrundia,,,,,2026-04-16 18:57:26,2026-04-16 18:57:26
localidad__es__01014,Berantevilla,municipio,country__es,subdivision__es__2__araba__subdivision_es_1_pais_vasco,01014,Berantevilla,,,,,2026-04-16 18:57:26,2026-04-16 18:57:26
localidad__es__01016,Bernedo,municipio,country__es,subdivision__es__2__araba__subdivision_es_1_pais_vasco,01016,Bernedo,,,,,2026-04-16 18:57:26,2026-04-16 18:57:26
localidad__es__01017,Campezo/Kanpezu,municipio,country__es,subdivision__es__2__araba__subdivision_es_1_pais_vasco,01017,Campezo/Kanpezu,,,,,2026-04-16 18:57:26,2026-04-16 18:57:26
localidad__es__01021,Elburgo/Burgelu,municipio,country__es,subdivision__es__2__araba__subdivision_es_1_pais_vasco,01021,Elburgo/Burgelu,,,,,2026-04-16 18:57:26,2026-04-16 18:57:26
localidad__es__01022,Elciego,municipio,country__es,subdivision__es__2__araba__subdivision_es_1_pais_vasco,01022,Elciego,,,,,2026-04-16 18:57:26,2026-04-16 18:57:26
localidad__es__01023,Elvillar/Bilar,municipio,country__es,subdivision__es__2__araba__subdivision_es_1_pais_vasco,01023,Elvillar/Bilar,,,,,2026-04-16 18:57:26,2026-04-16 18:57:26
localidad__es__01046,Erriberagoitia/Ribera Alta,municipio,country__es,subdivision__es__2__araba__subdivision_es_1_pais_vasco,01046,Erriberagoitia/Ribera Alta,,,,,2026-04-16 18:57:26,2026-04-16 18:57:26
localidad__es__01056,Harana/Valle de Arana,municipio,country__es,subdivision__es__2__araba__subdivision_es_1_pais_vasco,01056,Harana/Valle de Arana,,,,,2026-04-16 18:57:26,2026-04-16 18:57:26
localidad__es__01901,Iruña Oka/Iruña de Oca,municipio,country__es,subdivision__es__2__araba__subdivision_es_1_pais_vasco,01901,Iruña Oka/Iruña de Oca,,,,,2026-04-16 18:57:26,2026-04-16 18:57:26
localidad__es__01027,Iruraiz-Gauna,municipio,country__es,subdivision__es__2__araba__subdivision_es_1_pais_vasco,01027,Iruraiz-Gauna,,,,,2026-04-16 18:57:26,2026-04-16 18:57:26
localidad__es__01019,Kripan,municipio,country__es,subdivision__es__2__araba__subdivision_es_1_pais_vasco,01019,Kripan,,,,,2026-04-16 18:57:26,2026-04-16 18:57:26
localidad__es__01020,Kuartango,municipio,country__es,subdivision__es__2__araba__subdivision_es_1_pais_vasco,01020,Kuartango,,,,,2026-04-16 18:57:26,2026-04-16 18:57:26
localidad__es__01028,Labastida/Bastida,municipio,country__es,subdivision__es__2__araba__subdivision_es_1_pais_vasco,01028,Labastida/Bastida,,,,,2026-04-16 18:57:26,2026-04-16 18:57:26
localidad__es__01030,Lagran,municipio,country__es,subdivision__es__2__araba__subdivision_es_1_pais_vasco,01030,Lagran,,,,,2026-04-16 18:57:26,2026-04-16 18:57:26
localidad__es__01031,Laguardia,municipio,country__es,subdivision__es__2__araba__subdivision_es_1_pais_vasco,01031,Laguardia,,,,,2026-04-16 18:57:26,2026-04-16 18:57:26
localidad__es__01032,Lanciego/Lantziego,municipio,country__es,subdivision__es__2__araba__subdivision_es_1_pais_vasco,01032,Lanciego/Lantziego,,,,,2026-04-16 18:57:26,2026-04-16 18:57:26
localidad__es__01902,Lantaron,municipio,country__es,subdivision__es__2__araba__subdivision_es_1_pais_vasco,01902,Lantaron,,,,,2026-04-16 18:57:26,2026-04-16 18:57:26
localidad__es__01033,Lapuebla de Labarca,municipio,country__es,subdivision__es__2__araba__subdivision_es_1_pais_vasco,01033,Lapuebla de Labarca,,,,,2026-04-16 18:57:26,2026-04-16 18:57:26
localidad__es__01036,Laudio/Llodio,municipio,country__es,subdivision__es__2__araba__subdivision_es_1_pais_vasco,01036,Laudio/Llodio,,,,,2026-04-16 18:57:26,2026-04-16 18:57:26
localidad__es__01058,Legutio,municipio,country__es,subdivision__es__2__araba__subdivision_es_1_pais_vasco,01058,Legutio,,,,,2026-04-16 18:57:26,2026-04-16 18:57:26
